1yls.cif,24,24.133,0.515,0.734
1yyw.cif,96,32.646,0.221,0.199
1yz9.cif,44,19.68,0.567,0.854
1yzd.cif,48,24.417,0.27,0.137
1z7f.cif,48,24.534,0.268,0.13
1zbh.cif,32,29.881,0.37,0.234
1zbi.cif,12,13.533,0.211,0.18
1zci.cif,92,24.215,0.106,0.05
1zl3.cif,22,12.096,0.031,0.003
1zx7.cif,60,26.86,0.325,0.371
1zz5.cif,30,24.051,0.372,0.453
205d.cif,24,12.447,0.092,0.046
255d.cif,12,13.121,0.063,0.016
280d.cif,48,24.269,0.038,0.013
283d.cif,12,12.547,0.284,0.296
2a43.cif,26,11.913,0.041,0.004
2ann.cif,23,13.04,0.303,0.302
2asb.cif,11,13.265,0.227,0.055
2atw.cif,24,26.167,0.496,0.683
2az0.cif,36,16.574,0.378,0.462
2azx.cif,144,66.862,0.122,0.036
2b3j.cif,50,28.037,0.263,0.176
2csx.cif,150,44.051,0.261,0.237
2d6f.cif,146,60.212,0.396,0.493
2der.cif,145,36.355,0.113,0.066
2dlc.cif,74,22.308,0.03,0.007
2ez6.cif,56,24.321,0.235,0.114
2f8k.cif,16,9.717,0.065,0.033
2f8t.cif,50,21.711,0.089,-0.042
2g92.cif,22,12.052,0.068,0.035
2gic.cif,45,37.213,0.476,0.457
2gje.cif,13,17.883,0.071,0.012
2gjw.cif,37,55.022,0.201,-0.18
2gtt.cif,99,51.923,0.242,-0.238
2h1m.cif,32,14.848,0.34,0.396
2hvy.cif,61,26.039,0.559,0.835
2hw8.cif,36,14.75,0.13,0.04
2i82.cif,82,38.469,0.64,1.023
2i91.cif,16,31.712,0.572,0.865
2il9.cif,267,45.391,0.547,0.797
2jlt.cif,18,10.856,0.067,0.024
2nue.cif,46,20.562,0.153,-0.106
2nug.cif,22,15.585,0.356,0.425
2o3x.cif,42,18.241,0.117,0.015
2oe8.cif,16,14.79,0.452,0.604
2oeu.cif,43,17.787,0.143,0.101
2oiu.cif,142,31.466,0.108,0.037
2ozb.cif,66,43.833,0.69,1.144
2pjp.cif,23,12.155,0.082,0.04
2pn3.cif,24,18.169,0.09,-0.022
2py9.cif,24,30.744,0.685,1.108
2q1o.cif,44,19.73,0.029,-0.007
2qus.cif,138,26.323,0.228,0.146
2qux.cif,153,50.698,0.061,0.001
2qwy.cif,159,36.738,0.423,0.436
2r1s.cif,26,13.655,0.016,-0.001
2r8s.cif,159,30.039,0.173,-0.062
2rfk.cif,21,20.595,0.235,0.2
2uxc.cif,1513,64.866,0.062,0.028
2ygh.cif,96,20.81,0.101,-0.003
2z75.cif,22,18.686,0.209,0.103
2zy6.cif,38,16.896,0.262,0.268
353d.cif,12,11.791,0.04,0.016
354d.cif,12,12.856,0.053,-0.023
359d.cif,16,13.589,0.173,0.084
361d.cif,40,16.93,0.361,0.426
364d.cif,11,11.447,0.168,0.12
387d.cif,26,18.003,0.044,0.017
397d.cif,15,13.027,0.233,0.13
3bnn.cif,84,22.343,0.03,-0.01
3boy.cif,22,20.07,0.119,-0.063
3bsx.cif,19,34.783,0.603,0.882
3cgs.cif,12,11.855,0.182,0.098
3ciy.cif,46,38.218,0.36,0.202
3cjz.cif,26,13.293,0.183,0.151
3cul.cif,92,23.79,0.05,0.007
3czw.cif,15,13.928,0.175,0.136
3d0m.cif,16,14.278,0.271,0.281
3d2v.cif,154,24.697,0.108,0.071
3dil.cif,175,30.167,0.122,-0.048
3e5c.cif,54,18.35,0.127,0.042
3f2x.cif,109,22.462,0.106,-0.009
3fs0.cif,10,11.017,0.093,0.038
3ftm.cif,22,17.278,0.127,0.081
3gm7.cif,36,15.934,0.409,0.523
3gs5.cif,26,12.829,0.056,-0.003
3ibk.cif,24,11.493,0.054,0.012
3igi.cif,389,36.613,0.004,-0.0
3iwn.cif,188,41.579,0.026,0.006
3j6b.cif,2713,68.495,0.002,0.0
3j79.cif,3191,70.161,0.036,-0.005
3j7a.cif,1608,66.379,0.044,-0.018
3jbv.cif,1530,67.003,0.119,0.077
3jcs.cif,1554,63.052,0.069,0.033
